source,target,weight
2m4j,8ovk,0.002327420206380748
2m4j,8owd,0.07411047559924706
2m4j,8owe,0.14474934231968611
2m4j,8qn7,0.08433957440704982
2m4j,9raw,0.1541639248462711
2m4j,9rax,0.09544077995333551
2m4j,9riv,0.03465426885152439
2m5n,7qkz,0.07956378385488716
2m5n,8ik7,0.033201662401987186
2m5n,9ji8,0.1390176161316945
2m5n,9mc2,0.044764939963951186
2m5n,9qfm,0.052331369906747235
2mpz,12gb,0.1974180302213521
2mpz,6ti7,0.085584191994873
2mpz,8bfz,0.10207923023722945
2mpz,8bg0,0.15675829132327013
2mpz,8ff3,0.27689270678578864
2mpz,8j47,0.022544398654094605
2mpz,8olo,0.10782657040251169
2mpz,8ot1,0.1321322631886058
2mpz,8ot3,0.07560336149043001
2mpz,9riw,0.26761423017228164
2mvx,5oqv,0.21255069811098118
2mvx,6shs,0.024347265409861707
2mvx,8bfa,0.08614229284452282
2mvx,8bfb,0.0909575634784516
2mvx,8ol7,0.005310551060778429
2mvx,8olg,0.06325028093165812
2mvx,8ovk,0.333493584431637
2mvx,8owe,0.0728110650040807
2mvx,8owk,0.04170670297383784
2mvx,8qn6,0.05357674756169441
2mvx,8sek,0.14163484765280776
2mvx,8sel,0.1490874823233988
2mvx,9iio,0.4702817296194565
2mvx,9raw,0.14128296802662432
2mvx,9rax,0.21890838794635914
2mvx,9riv,0.2189395395048758
2mxu,12gb,0.20789665751884057
2mxu,21fb,0.2931962580295081
2mxu,5kk3,0.4079896986403752
2mxu,6ti5,0.12920555912473228
2mxu,6ti6,0.18241030258801177
2mxu,6ti7,0.37393689801158264
2mxu,6w0o,0.3693921437542379
2mxu,7q4b,0.23615424856645287
2mxu,7q4m,0.18739821846109933
2mxu,8az4,0.03826948876341096
2mxu,8az5,0.015354047040980085
2mxu,8azs,0.2992809883153866
2mxu,8azt,0.2960064437254893
2mxu,8bfz,0.397059399486168
2mxu,8bg0,0.43531516764466494
2mxu,8dja,0.07803102428490893
2mxu,8ezd,0.10598140504096669
2mxu,8ff3,0.1485964431563805
2mxu,8kf1,0.0009887628137591308
2mxu,8kf3,0.30477329106701906
2mxu,8kf4,0.25707175055588977
2mxu,8kf6,0.08021875902310557
2mxu,8ol2,0.10407977382848747
2mxu,8ol3,0.4256868524804129
2mxu,8ol5,0.36877690619052467
2mxu,8ol6,0.30069422969432924
2mxu,8ol7,0.1401571872302841
2mxu,8olo,0.05545193809000313
2mxu,8otf,0.342258149931455
2mxu,8sej,0.3189644941616809
2mxu,9ck6,0.19425552405143587
2mxu,9cki,0.14680346173154724
2mxu,9co4,0.03906681257145878
2mxu,9czn,0.48070707915041844
2mxu,9czp,0.5284607969535203
2mxu,9fh3,0.056918236197532314
2mxu,9jaz,0.12319614969241188
2mxu,9jb0,0.22836427429982842
2mxu,9jb1,0.12646908241008398
2mxu,9jb2,0.2816757962916666
2mxu,9k0d,0.09394624986887444
2mxu,9k0e,0.19617788835063146
2mxu,9k0f,0.14663289096304588
2mxu,9m5q,0.20141558640406595
2mxu,9riw,0.023581453945715692
2mxu,9umh,0.26727270735866765
2mxu,9wao,0.24266945260290584
2mxu,9wap,0.32664536185395593
2nnt,6tub,0.038487624557216514
2nnt,7yl7,0.0155771515566339
5kk3,12gb,0.15162760307634873
5kk3,21fb,0.23420241767981106
5kk3,2mxu,0.4079896986403752
5kk3,6n3c,0.05745471384988086
5kk3,6ti5,0.025861079907154767
5kk3,6ti6,0.16092427611975674
5kk3,6ti7,0.2730360380586424
5kk3,6w0o,0.23111647305089428
5kk3,7f29,0.35675700747220856
5kk3,7q4b,0.4675710569960958
5kk3,7q4m,0.44497240190786186
5kk3,8azs,0.46013030570877805
5kk3,8azt,0.18657804687881385
5kk3,8bfz,0.3455276392708569
5kk3,8bg0,0.1632339191838172
5kk3,8ezd,0.12481958066869851
5kk3,8eze,0.040523944963805125
5kk3,8j47,0.278098121694251
5kk3,8kew,0.32532745390774365
5kk3,8kf1,0.3297660876629963
5kk3,8kf3,0.43539135970769055
5kk3,8kf4,0.5887429718706425
5kk3,8kf5,0.3141493363065285
5kk3,8kf6,0.3141245937311145
5kk3,8ol2,0.4436563255322715
5kk3,8ol3,0.4578690326002266
5kk3,8ol5,0.5176130191298679
5kk3,8ol6,0.4827778324282641
5kk3,8ol7,0.16919854997853373
5kk3,8olo,0.07179896601793787
5kk3,8otf,0.3257697835466219
5kk3,8sej,0.5674482576374109
5kk3,8sel,0.048553407715953824
5kk3,8yac,0.012408550800350481
5kk3,9ck6,0.5440126936038227
5kk3,9cki,0.5163022403358675
5kk3,9co4,0.5048477777099439
5kk3,9czn,0.49711216895031207
5kk3,9czp,0.583521155155989
5kk3,9fh1,0.1541805313874645
5kk3,9fh2,0.05376808102714734
5kk3,9fh3,0.033153425392345434
5kk3,9jaz,0.23125363094061413
5kk3,9jb0,0.2430845123187193
5kk3,9jb1,0.1596345214363765
5kk3,9jb2,0.24596397772183876
5kk3,9k0d,0.619242829493546
5kk3,9k0e,0.666500669977622
5kk3,9k0f,0.637121460317194
5kk3,9m5q,0.11192204211560615
5kk3,9obk,0.2414428441660672
5kk3,9umh,0.025611868776144665
5kk3,9wao,0.5426538661243467
5kk3,9wap,0.6250958102195023
5o3l,10kr,0.4884755018657295
5o3l,5o3o,0.6462090440215095
5o3l,5o3t,0.5896672800176582
5o3l,6hre,0.7857174201760762
5o3l,6hrf,0.4231377471908309
5o3l,6nwp,0.8448326975751366
5o3l,6nwq,0.22965494818798454
5o3l,6vhl,0.8357662528020556
5o3l,6vi3,0.1326857527358957
5o3l,7mkf,0.6621920107847481
5o3l,7mkg,0.48629134140313274
5o3l,7mkh,0.15225111487430337
5o3l,7nrq,0.2200971273304244
5o3l,7nrs,0.42740919832297675
5o3l,7nrt,0.3642141944729928
5o3l,7nrv,0.44664704550839207
5o3l,7nrx,0.7838038769473947
5o3l,7qjv,0.9270978246047783
5o3l,7qjw,0.7308588359827954
5o3l,7qjx,0.5326126746399807
5o3l,7qjy,0.580639131249167
5o3l,7qjz,0.9437049374255684
5o3l,7qk1,0.5842626220737454
5o3l,7qk2,0.8949278626039995
5o3l,7qk5,0.56009487568619
5o3l,7qki,0.314624091409197
5o3l,7qkj,0.6784498542361476
5o3l,7qkk,0.6513871630325812
5o3l,7qkl,0.2816919850285808
5o3l,7qku,0.5575515027871435
5o3l,7qkv,0.5984011478995018
5o3l,7qkx,0.9144367612066345
5o3l,7ql0,0.75429580757029
5o3l,7ql1,0.8483245493867223
5o3l,7ql3,0.39872621436210876
5o3l,7ql4,0.6908018217533132
5o3l,7r4t,0.2075192550682569
5o3l,7r5h,0.44854228093653675
5o3l,7upe,0.6899956359585268
5o3l,7upf,0.6702737546120365
5o3l,7upg,0.6947548652365407
5o3l,7ymn,0.17135007235698313
5o3l,8azu,0.5142729375892513
5o3l,8bgs,0.30669927234784716
5o3l,8bgv,0.36457852210046965
5o3l,8byn,0.6562601958992553
5o3l,8caq,0.6027132400328368
5o3l,8cax,0.38329837018525864
5o3l,8fug,0.7880321707021493
5o3l,8ore,0.714704784114012
5o3l,8ot6,0.8118233550569457
5o3l,8ot9,0.7416411956853238
5o3l,8otc,0.4909621561122032
5o3l,8otg,0.6496195279296914
5o3l,8oth,0.7347197851482714
5o3l,8oti,0.7010643025992884
5o3l,8otj,0.6185370413885922
5o3l,8q27,0.7334188364136252
5o3l,8q2j,1.2342952030382819
5o3l,8q2k,0.5547330221256468
5o3l,8q2l,0.6752191161125352
5o3l,8q7f,0.955035165724591
5o3l,8q7l,1.007953563887304
5o3l,8q7m,1.0456248169688853
5o3l,8q7p,1.1043944121583746
5o3l,8q7t,0.9340525159863248
5o3l,8q88,0.4753397747781495
5o3l,8q8c,0.9805792589783315
5o3l,8q8d,0.6661865426124273
5o3l,8q8e,0.9674083934834947
5o3l,8q8f,0.5411004234105123
5o3l,8q8l,0.5573705710118491
5o3l,8q8m,0.46650397805164234
5o3l,8q8r,0.28973860619276653
5o3l,8q8s,0.7192264255665892
5o3l,8q8u,0.8715417937071962
5o3l,8q8v,0.8956317154507616
5o3l,8q8w,0.8976642903998131
5o3l,8q8x,0.7334391503925117
5o3l,8q8y,0.8417228707922341
5o3l,8q8z,0.6938413228174511
5o3l,8q97,0.7053739335474084
5o3l,8q98,0.44613502129092303
5o3l,8q99,1.0564218879792024
5o3l,8q9a,1.0549806112381224
5o3l,8q9b,1.0325814630260706
5o3l,8q9c,1.0790533974342318
5o3l,8q9d,0.8054893777127388
5o3l,8q9e,0.34450695802507514
5o3l,8q9f,0.8803848556616511
5o3l,8q9g,0.9343092042569439
5o3l,8q9h,1.0689932262342365
5o3l,8q9i,1.2525139790553197
5o3l,8q9j,1.1157924132090897
5o3l,8q9k,0.36385514657808427
5o3l,8q9l,1.0974917633221695
5o3l,8q9m,0.7485296549166789
5o3l,8q9o,0.8572734373309515
5o3l,8qcp,0.6713838907451127
5o3l,8qcr,0.7504403412148949
5o3l,8qjj,0.9399047334044136
5o3l,8seh,0.3769242643158229
5o3l,8sei,0.46782296709418897
5o3l,8uq7,0.7652943365124695
5o3l,8zwl,0.6319579280054365
5o3l,8zwm,0.8783436213065998
5o3l,8zx6,0.5572533630271509
5o3l,9b4l,0.5289228159727184
5o3l,9b4m,0.663359551591734
5o3l,9b4n,0.650317585711324
5o3l,9b4o,0.6235025233427665
5o3l,9bbl,0.5517305717399236
5o3l,9bbm,0.3329868339971337
5o3l,9bxi,0.4594159056320163
5o3l,9bxo,0.4580626433783629
5o3l,9bxq,0.5969582606478282
5o3l,9bxr,0.4928569593921511
5o3l,9cgx,0.4011488287787687
5o3l,9cgz,0.4702051404237523
5o3l,9czi,0.3711428861244931
5o3l,9czl,0.6229051822578874
5o3l,9eo7,0.7083331013710756
5o3l,9eo9,0.6412311934916426
5o3l,9eoe,0.5029040958840503
5o3l,9eog,0.7530799204903303
5o3l,9eoh,0.7873982314364922
5o3l,9erm,0.6513979551015072
5o3l,9ern,0.6013527899110302
5o3l,9ero,0.6041104440910704
5o3l,9fh6,0.6144742138418369
5o3l,9h5g,0.37384948364591136
5o3l,9h5j,0.24601994501731742
5o3l,9hbb,0.6375574055788773
5o3l,9o6v,0.2172301685763307
5o3l,9o6w,0.4036843016110508
5o3l,9o6x,0.6736380771097571
5o3l,9o6y,0.48528026836847893
5o3l,9o6z,0.5483984398203516
5o3l,9o76,0.6016716978387335
5o3l,9o79,0.41519318511262354
5o3l,9o7b,0.6807756336144656
5o3l,9o7c,0.6774507715429721
5o3l,9pgo,0.7999092023939479
5o3l,9r2f,0.8285224825147234
5o3l,9shs,0.7827595248728653
5o3l,9tzx,0.41123371717038537
5o3o,10kr,0.6079717389758482
5o3o,5o3l,0.6462090440215095
5o3o,5o3t,0.6891026638144025
5o3o,6gx5,0.07854527964514571
5o3o,6hre,1.1322211258453847
5o3o,6hrf,0.31534206681054017
5o3o,6nwp,1.2594647442327513
5o3o,6nwq,0.6455413128892199
5o3o,6vhl,0.6388488958405348
5o3o,6vi3,0.62622390270563
5o3o,7mkf,1.322016939792463
5o3o,7mkg,1.1101964149474868
5o3o,7mkh,0.9343853374927591
5o3o,7nrq,0.8753221446678394
5o3o,7nrs,1.0125141608018022
5o3o,7nrt,1.0396943343719922
5o3o,7nrv,0.8615122928031322
5o3o,7nrx,0.5381223583586443
5o3o,7qjv,1.3155901094324265
5o3o,7qjw,0.8576604831421925
5o3o,7qjx,0.7305676046336879
5o3o,7qjy,0.6175809857316983
5o3o,7qjz,0.8321984904723922
5o3o,7qk1,0.820339174018299
5o3o,7qk2,0.7397818767814544
5o3o,7qk5,1.2196966603660313
5o3o,7qki,0.9347181986503721
5o3o,7qkj,0.6532410354820458
5o3o,7qkk,0.7747323948271031
5o3o,7qkl,0.3886157042635638
5o3o,7qku,1.2070549582087335
5o3o,7qkv,0.9267776235021927
5o3o,7qkx,1.2012376464456973
5o3o,7ql0,0.8504494200552827
5o3o,7ql1,1.0476410075549683
5o3o,7ql3,0.7519281982919785
5o3o,7ql4,0.9561579264445321
5o3o,7r4t,0.3767235956859495
5o3o,7r5h,0.5811667966623405
5o3o,7upe,1.5144354888228875
5o3o,7upf,1.4996245340356729
5o3o,7upg,0.6414410168998066
5o3o,7ymn,0.6388560179493609
5o3o,8azu,0.9938907704311584
5o3o,8bgs,0.8378887133079317
5o3o,8bgv,0.4796635572181523
5o3o,8byn,0.7193631048723417
5o3o,8caq,1.0508315008296596
5o3o,8cax,0.6791496437330474
5o3o,8fug,1.3660879756747157
5o3o,8ore,1.1607439858812953
5o3o,8ot6,1.223505532703003
5o3o,8ot9,0.8882181627900128
5o3o,8otc,0.5277425634191998
5o3o,8otg,0.8813653039135211
5o3o,8oth,0.9733207266104452
5o3o,8oti,0.6680573430731107
5o3o,8otj,1.1520016872074692
5o3o,8p34,0.045163413187833526
5o3o,8q27,0.9834698383112984
5o3o,8q2j,0.8605113839719539
5o3o,8q2k,0.594448358921791
5o3o,8q2l,0.6706786467765653
5o3o,8q7f,1.0829581686176808
5o3o,8q7l,0.9534018888158423
5o3o,8q7m,1.0696254710621012
5o3o,8q7p,1.0374590156571437
5o3o,8q7t,1.0881614234262569
5o3o,8q88,1.1745207844751644
5o3o,8q8c,0.8519700798462135
5o3o,8q8d,1.370063342678685
5o3o,8q8e,1.224271482311503
5o3o,8q8f,1.3626673733456884
5o3o,8q8l,1.0248986882212825
5o3o,8q8m,0.9549402149510897
5o3o,8q8r,1.2421219841705
5o3o,8q8s,0.8057728974118685
5o3o,8q8u,0.5369415745001174
5o3o,8q8v,0.11933828193364562
5o3o,8q8w,0.8244061452685983
5o3o,8q8x,1.0238775979538497
5o3o,8q8y,1.2167227782022672
5o3o,8q8z,0.9812296737361814
5o3o,8q97,0.7894988620713793
5o3o,8q98,0.5968915123220502
5o3o,8q99,0.726155905563884
5o3o,8q9a,0.870625494955507
5o3o,8q9b,0.597610899566924
5o3o,8q9c,0.54331099482517
5o3o,8q9d,0.47269200863279315
5o3o,8q9e,0.5878993503885775
5o3o,8q9f,1.18349089434985
